,2019-06-30,2020-06-30,2021-06-30,2022-06-30,2023-06-30
symbol,MSFT,MSFT,MSFT,MSFT,MSFT
reportedCurrency,USD,USD,USD,USD,USD
cik,0000789019,0000789019,0000789019,0000789019,0000789019
fillingDate,2019-08-01,2020-07-30,2021-07-29,2022-07-28,2023-07-27
acceptedDate,2019-08-01 16:09:55,2020-07-30 20:44:46,2021-07-29 16:21:55,2022-07-28 16:06:19,2023-07-27 16:01:56
calendarYear,2019,2020,2021,2022,2023
period,FY,FY,FY,FY,FY
cashAndCashEquivalents,11356000000,13576000000,14224000000,13931000000,34704000000
shortTermInvestments,122463000000,122951000000,116110000000,90826000000,76558000000
cashAndShortTermInvestments,133819000000,136527000000,130334000000,104757000000,111262000000
netReceivables,29524000000,32011000000,38043000000,44261000000,48688000000
inventory,2063000000,1895000000,2636000000,3742000000,2500000000
otherCurrentAssets,10146000000,11482000000,13393000000,16924000000,21807000000
totalCurrentAssets,175552000000,181915000000,184406000000,169684000000,184257000000
propertyPlantEquipmentNet,43856000000,52904000000,70803000000,87546000000,109987000000
goodwill,42026000000,43351000000,49711000000,67524000000,67886000000
intangibleAssets,7750000000,7038000000,7800000000,11298000000,9366000000
goodwillAndIntangibleAssets,49776000000,50389000000,57511000000,78822000000,77252000000
longTermInvestments,2649000000,2965000000,5984000000,6891000000,9879000000
taxAssets,0,0,0,0,0
otherNonCurrentAssets,14723000000,13138000000,15075000000,21897000000,30601000000
totalNonCurrentAssets,111004000000,119396000000,149373000000,195156000000,227719000000
otherAssets,0,0,0,0,0
totalAssets,286556000000,301311000000,333779000000,364840000000,411976000000
accountPayables,9382000000,12530000000,15163000000,19000000000,18095000000
shortTermDebt,5516000000,3749000000,8072000000,2749000000,5247000000
taxPayables,5665000000,2130000000,2174000000,4067000000,4152000000
deferredRevenue,32676000000,36000000000,41525000000,45538000000,50901000000
otherCurrentLiabilities,21846000000,20031000000,23897000000,27795000000,29906000000
totalCurrentLiabilities,69420000000,72310000000,88657000000,95082000000,104149000000
longTermDebt,72850000000,67249000000,59703000000,58521000000,54718000000
deferredRevenueNonCurrent,4530000000,3180000000,2616000000,2870000000,2912000000
deferredTaxLiabilitiesNonCurrent,233000000,204000000,198000000,230000000,433000000
otherNonCurrentLiabilities,37193000000,40064000000,40617000000,41595000000,43541000000
totalNonCurrentLiabilities,114806000000,110697000000,103134000000,103216000000,101604000000
otherLiabilities,0,0,0,0,0
capitalLeaseObligations,6188000000,7671000000,9629000000,11489000000,12728000000
totalLiabilities,184226000000,183007000000,191791000000,198298000000,205753000000
preferredStock,0,0,0,0,0
commonStock,78520000000,80552000000,83111000000,86939000000,93718000000
retainedEarnings,24150000000,34566000000,57055000000,84281000000,118848000000
accumulatedOtherComprehensiveIncomeLoss,-340000000,3186000000,1822000000,-4678000000,-6343000000
othertotalStockholdersEquity,0,0,0,0,0
totalStockholdersEquity,102330000000,118304000000,141988000000,166542000000,206223000000
totalEquity,102330000000,118304000000,141988000000,166542000000,206223000000
totalLiabilitiesAndStockholdersEquity,286556000000,301311000000,333779000000,364840000000,411976000000
minorityInterest,0,0,0,0,0
totalLiabilitiesAndTotalEquity,286556000000,301311000000,333779000000,364840000000,411976000000
totalInvestments,125112000000,125916000000,122094000000,97709000000,86437000000
totalDebt,78366000000,70998000000,67775000000,61270000000,59965000000
netDebt,67010000000,57422000000,53551000000,47339000000,25261000000
link,https://www.sec.gov/Archives/edgar/data/789019/000156459019027952/0001564590-19-027952-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459020034944/0001564590-20-034944-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459021039151/0001564590-21-039151-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459022026876/0001564590-22-026876-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000095017023035122/0000950170-23-035122-index.htm
finalLink,https://www.sec.gov/Archives/edgar/data/789019/000156459019027952/msft-10k_20190630.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459020034944/msft-10k_20200630.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459021039151/msft-10k_20210630.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459022026876/msft-10k_20220630.htm,https://www.sec.gov/Archives/edgar/data/789019/000095017023035122/msft-20230630.htm
startPeriod,2018-06-30,2019-06-30,2020-06-30,2021-06-30,2022-06-30
endPeriod,2019-06-30,2020-06-30,2021-06-30,2022-06-30,2023-06-30
high,138.4,203.95,271.65,349.67,351.47
low,93.96,130.78,196.25,241.51,213.43
average,112.93,157.27,227.39,297.08,267.65
