,2018-12-31,2019-12-31,2020-12-31,2021-12-31,2022-12-31
symbol,ASML,ASML,ASML,ASML,ASML
reportedCurrency,EUR,EUR,EUR,EUR,EUR
cik,0000937966,0000937966,0000937966,0000937966,0000937966
fillingDate,2019-02-06,2020-02-12,2021-02-10,2022-02-09,2023-02-15
acceptedDate,2019-02-06 06:09:01,2020-02-12 06:22:29,2021-02-10 06:10:28,2022-02-09 06:24:50,2023-02-15 06:05:47
calendarYear,2018,2019,2020,2021,2022
period,FY,FY,FY,FY,FY
netIncome,2525500000,2581100000,3553700000,5883200000,6395800000
depreciationAndAmortization,733500000,828300000,490800000,471000000,875900000
deferredIncomeTax,-262700000,-348800000,-211300000,-419600000,-774700000
stockBasedCompensation,48300000,74600000,53900000,117500000,66400000
changeInWorkingCapital,-53100000,233700000,531600000,4892400000,2538400000
accountsReceivables,201200000,-255000000,507500000,-1754900000,-2338000000
inventory,-515700000,-404700000,-706700000,-483200000,-2080900000
accountsPayables,97900000,-12100000,334300000,718600000,405300000
otherWorkingCapital,163500000,905500000,396500000,6411900000,6552000000
otherNonCashItems,310000000,286200000,208900000,-98700000,333100000
netCashProvidedByOperatingActivities,3301500000,3655100000,4627600000,10845800000,9434900000
investmentsInPropertyPlantAndEquipment,-838300000,-1191500000,-1000800000,-940300000,-2212400000
acquisitionsNet,35500000,-424900000,-222800000,329000000,0
purchasesOfInvestments,-920500000,-1291500000,-1475500000,-1162700000,-334300000
salesMaturitiesOfInvestments,1034100000,1019000000,1359100000,1826400000,864700000
otherInvestingActivites,-31100000,425800000,-12200000,-124400000,-240000000
netCashUsedForInvestingActivites,-720300000,-1463100000,-1352200000,-72000000,-1922000000
debtRepayment,-2800000,-76900000,-3300000,-12000000,-571200000
commonStockIssued,21800000,27200000,37900000,48900000,81800000
commonStockRepurchased,-1146200000,-410000000,-1207500000,-8560300000,-4639700000
dividendsPaid,-597100000,-1325700000,-1066400000,-1368300000,-2559800000
otherFinancingActivites,0,0,1486300000,0,495600000
netCashUsedProvidedByFinancingActivities,-1724300000,-1785400000,-753000000,-9891700000,-7193300000
effectOfForexChangesOnCash,5200000,4600000,-5300000,20300000,-3100000
netChangeInCash,862100000,411200000,2517100000,902400000,316500000
cashAtEndOfPeriod,3121100000,3532300000,6049400000,6951800000,7268300000
cashAtBeginningOfPeriod,2259000000,3121100000,3532300000,6049400000,6951800000
operatingCashFlow,3301500000,3655100000,4627600000,10845800000,9434900000
capitalExpenditure,-838300000,-1191500000,-1000800000,-940300000,-2212400000
freeCashFlow,2463200000,2463600000,3626800000,9905500000,7222500000
link,https://www.sec.gov/Archives/edgar/data/937966/000093796619000007/0000937966-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/937966/000093796620000011/0000937966-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/937966/000093796621000007/0000937966-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/937966/000093796622000013/0000937966-22-000013-index.htm,https://www.sec.gov/Archives/edgar/data/937966/000093796623000014/0000937966-23-000014-index.htm
finalLink,https://www.sec.gov/Archives/edgar/data/937966/000093796619000007/a2018integratedreportbased.htm,https://www.sec.gov/Archives/edgar/data/937966/000093796620000011/a2019integratedreportb.htm,https://www.sec.gov/Archives/edgar/data/937966/000093796621000007/asml-20201231.htm,https://www.sec.gov/Archives/edgar/data/937966/000093796622000013/asml-20211231.htm,https://www.sec.gov/Archives/edgar/data/937966/000093796623000014/asml-20221231.htm
startPeriod,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
endPeriod,2018-12-31,2019-12-31,2020-12-31,2021-12-31,2022-12-31
high,221.66,298.5,492.66,895.93,805.28
low,144.5,147.38,191.25,483.45,363.15
average,192.1,217.82,348.13,699.3,563.45
