,2018-12-31,2019-12-31,2020-12-31,2021-12-31,2022-12-31
symbol,ASML,ASML,ASML,ASML,ASML
reportedCurrency,EUR,EUR,EUR,EUR,EUR
cik,0000937966,0000937966,0000937966,0000937966,0000937966
fillingDate,2019-02-06,2020-02-12,2021-02-10,2022-02-09,2023-02-15
acceptedDate,2019-02-06 06:09:01,2020-02-12 06:22:29,2021-02-10 06:10:28,2022-02-09 06:24:50,2023-02-15 06:05:47
calendarYear,2018,2019,2020,2021,2022
period,FY,FY,FY,FY,FY
cashAndCashEquivalents,3121100000,3532300000,6049400000,6951800000,7268300000
shortTermInvestments,913300000,1185800000,1302200000,638500000,107700000
cashAndShortTermInvestments,4034400000,4718100000,7351600000,7590300000,7376000000
netReceivables,2400900000,2850500000,3207300000,4420200000,7047000000
inventory,3439500000,3809200000,4569400000,5179200000,7199700000
otherCurrentAssets,83700000,131100000,801700000,1000500000,266400000
totalCurrentAssets,10430500000,11971900000,15930000000,18190200000,22549600000
propertyPlantEquipmentNet,1727100000,2323200000,2815200000,3147500000,4136900000
goodwill,4562700000,4562700000,4629100000,4555600000,4577100000
intangibleAssets,2592700000,2519400000,1049000000,952100000,3345700000
goodwillAndIntangibleAssets,7155400000,7082100000,5678100000,5507700000,7922800000
longTermInvestments,915800000,833000000,820700000,892500000,923600000
taxAssets,365900000,573400000,671500000,1098700000,2188900000
otherNonCurrentAssets,1081200000,1251500000,1351900000,1394400000,1104200000
totalNonCurrentAssets,11245400000,12063200000,11337400000,12040800000,16276400000
otherAssets,0,0,0,0,0
totalAssets,21675900000,24035100000,27267400000,30231000000,38826000000
accountPayables,964000000,1062200000,1377900000,2116300000,2563500000
shortTermDebt,187900000,1101600000,15400000,509100000,746200000
taxPayables,187900000,65600000,110000000,301900000,315300000
deferredRevenue,1728600000,2526400000,3954200000,7935200000,12481000000
otherCurrentLiabilities,911400000,3900000,1256000000,1737400000,1971900000
totalCurrentLiabilities,3791900000,4694100000,6603500000,12298000000,17762600000
longTermDebt,3026500000,3108300000,4662800000,4075000000,3514200000
deferredRevenueNonCurrent,1224600000,1759600000,1639900000,3225700000,5269900000
deferredTaxLiabilitiesNonCurrent,488700000,355200000,238300000,240600000,538400000
otherNonCurrentLiabilities,201800000,241000000,257500000,251100000,454900000
totalNonCurrentLiabilities,4941600000,5464100000,6798500000,7792400000,9777400000
otherLiabilities,0,0,0,0,0
capitalLeaseObligations,0,0,0,0,0
totalLiabilities,8733500000,10158200000,13402000000,20090400000,27540000000
preferredStock,1301400000,0,0,0,0
commonStock,38600000,38200000,37600000,36500000,36300000
retainedEarnings,9197900000,9523800000,10731500000,8317300000,8697700000
accumulatedOtherComprehensiveIncomeLoss,285000000,277800000,179400000,333500000,2761700000
othertotalStockholdersEquity,2119500000,4037100000,2916900000,1453300000,-209700000
totalStockholdersEquity,12942400000,13876900000,13865400000,10140600000,11286000000
totalEquity,12942400000,13876900000,13865400000,10140600000,11286000000
totalLiabilitiesAndStockholdersEquity,21675900000,24035100000,27267400000,30231000000,38826000000
minorityInterest,0,0,0,0,0
totalLiabilitiesAndTotalEquity,21675900000,24035100000,27267400000,30231000000,38826000000
totalInvestments,1829100000,2018800000,2122900000,1531000000,1031300000
totalDebt,3026500000,3108300000,4662800000,4075000000,4260400000
netDebt,-94600000,-424000000,-1386600000,-2876800000,-3007900000
link,https://www.sec.gov/Archives/edgar/data/937966/000093796619000007/0000937966-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/937966/000093796620000011/0000937966-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/937966/000093796621000007/0000937966-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/937966/000093796622000013/0000937966-22-000013-index.htm,https://www.sec.gov/Archives/edgar/data/937966/000093796623000014/0000937966-23-000014-index.htm
finalLink,https://www.sec.gov/Archives/edgar/data/937966/000093796619000007/a2018integratedreportbased.htm,https://www.sec.gov/Archives/edgar/data/937966/000093796620000011/a2019integratedreportb.htm,https://www.sec.gov/Archives/edgar/data/937966/000093796621000007/asml-20201231.htm,https://www.sec.gov/Archives/edgar/data/937966/000093796622000013/asml-20211231.htm,https://www.sec.gov/Archives/edgar/data/937966/000093796623000014/asml-20221231.htm
startPeriod,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
endPeriod,2018-12-31,2019-12-31,2020-12-31,2021-12-31,2022-12-31
high,221.66,298.5,492.66,895.93,805.28
low,144.5,147.38,191.25,483.45,363.15
average,192.1,217.82,348.13,699.3,563.45
